中央电视台,#genre#
CCTV-11 戏曲,http://39.135.55.7:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227233/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-12 社会与法,http://39.135.55.7:6610/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://39.135.55.7:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227279/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227237/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://39.135.55.7:6610/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://39.135.55.7:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227270/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-16 奥林匹克,http://39.135.55.7:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://39.135.55.7:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-5+ 体育赛事,http://39.135.55.7:6610/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV4欧洲,http://[2409:8087:2801:22:100::42]/wh7f454c46tw3242271071_-384879779/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236378/index.m3u8
CCTV4美洲,http://[2409:8087:2801:22:100::59]/wh7f454c46tw3276424687_-177399836/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236335/index.m3u8
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CGTN-新闻,http://39.135.55.7:6610/PLTV/88888888/224/3221225822/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://live.cgtn.com/500/prog_index.m3u8?zshijd#http://live.cgtn.com/1000/prog_index.m3u8
CGTN-西班牙语,http://39.135.55.7:6610/PLTV/88888888/224/3221227238/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://livees.cgtn.com/500e/prog_index.m3u8#http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8#http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN-纪录,http://39.135.55.7:6610/PLTV/88888888/224/3221225813/index.m3u8?servicetype=1&IASHttpSessionId=OTT#https://livedoc.cgtn.com/500d/prog_index.m3u8#http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN-法语,http://39.135.55.7:6610/PLTV/88888888/224/3221227220/index.m3u8?servicetype=1&IASHttpSessionId=OTT#https://livefr.cgtn.com/1000f/prog_index.m3u8#http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN-俄语,http://39.135.55.7:6610/PLTV/88888888/224/3221227103/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://liveru.cgtn.com/1000r/prog_index.m3u8#http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CGTN-阿拉伯语,http://39.135.55.7:6610/PLTV/88888888/224/3221227224/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://livear.cgtn.com/1000a/prog_index.m3u8#http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
中国教育 CETV-1,http://39.135.55.7:6610/PLTV/88888888/224/3221227067/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://e3.woc.iiiya.cn:8888/rtp/239.61.2.167:8990#http://hwylivehd.centv.cn/cetv1/ypd.m3u8
中国教育 CETV-2,http://39.135.55.7:6610/PLTV/88888888/224/3221227206/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://e3.woc.iiiya.cn:8888/rtp/239.61.3.6:9554#http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
中国教育 CETV-3,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
中国教育 CETV-4,http://39.135.55.7:6610/PLTV/88888888/224/3221227192/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://e3.woc.iiiya.cn:8888/rtp/239.61.3.15:9608#http://hwylivehd.centv.cn/cetv4/zjpd.m3u8

数字付费,#genre#
CHC家庭影院,http://nas.tuyuannet.cn:8800/rtp/239.37.0.188:5540
CHC影迷电影,http://183.92.4.163:4000/udp/228.0.0.233:6108
CHC动作电影,http://115.60.241.249:2000/rtp/225.1.4.208:1261#http://e3.woc.iiiya.cn:8888/rtp/239.61.3.16:9616

卫视频道,#genre#
东南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
厦门卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
海峡卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
北京卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225826/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://live.sjsrm.com/bjsjs/sd/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
东方卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225828/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227059/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
广东卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225824/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225848/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
浙江卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225825/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
天津卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225830/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
重庆卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225831/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
安徽卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225844/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
四川卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225835/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
青海卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225841/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578#http://stream.qhbtv.com/qhws/sd/live.m3u8
辽宁卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225832/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
江西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225834/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江苏卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225847/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
山东卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225843/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
吉林卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
湖南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225827/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227232/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖北卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225840/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227111/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
黑龙江卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225862/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225842/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.105:6610/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1?zhend#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
海南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
贵州卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
广西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=OTT
甘肃卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=OTT
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8#https://hls.ningxiahuangheyun.com/tv/nxws.m3u8
新疆卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227248/index.m3u8?servicetype=1&IASHttpSessionId=OTT
陕西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227221/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225839/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.55.7:6610/PLTV/88888888/224/3221227258/index.m3u8?servicetype=1&IASHttpSessionId=OTT
西藏卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227217/index.m3u8?servicetype=1&IASHttpSessionId=OTT
内蒙古卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225846/index.m3u8?servicetype=1&IASHttpSessionId=OTT
兵团卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227168/index.m3u8?servicetype=1&IASHttpSessionId=OTT
康巴卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225856/index.m3u8?servicetype=1&IASHttpSessionId=OTT
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8#http://39.135.55.7:6610/PLTV/88888888/224/3221227330/index.m3u8?servicetype=1&IASHttpSessionId=OTT
三沙卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1&IASHttpSessionId=OTT
大湾区卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227214/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东教育卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225873/index.m3u8?servicetype=1&IASHttpSessionId=OTT

福建省,#genre#
福州电视台 (FZTV-1),http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州电视台(FZTV-3),http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福州电视台(FZTV-少儿),http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福建旅游,http://39.135.55.7:6610/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1?zfud
福建教育,http://39.135.55.7:6610/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1?zfud
福建综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227149/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
福建乡村振兴公共,http://39.135.55.7:6610/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
福建新闻,http://39.135.55.7:6610/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1?zfud
福建电视剧,http://39.135.55.105:6610/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1?zfud#http://39.135.55.7:6610/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
福建经济,http://39.135.55.7:6610/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1?zfud
福建文体,http://39.135.55.105:6610/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1?zfud#http://39.135.55.7:6610/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
福建少儿,http://39.135.55.7:6610/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1?zfud
厦门一套,http://39.135.55.7:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1?zfud
厦门二套,http://39.135.55.105:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1?zfud#http://39.135.55.7:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud
厦门三套,http://39.135.55.7:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zfud#http://39.135.55.105:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1?zfud
漳州-1,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
三明-1,http://stream.smntv.cn/smtv1/sd/live.m3u8?zfud
三明-2,http://stream.smntv.cn/smtv2/sd/live.m3u8?zfud
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8?zfud
新罗电视一套,http://stream.lyxltv.com/xltv/sd/live.m3u8?zfud
宁化电视一套,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8?fujian

港澳台,#genre#
凤凰卫视资讯台,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8#http://[2409:8087:2801:20:100::50]/wh7f454c46tw54228331_-952106546/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8#http://ipv6.dzxhb.top:8888/rtp/239.11.0.154:5140#http://146.56.153.245:20121/bysid/257#http://116.162.6.192/29.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/76.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/90.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/39.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/8.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/61.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/14.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/88.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/12.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/84.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/71.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/82.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/36.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/56.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.192/67.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8#http://116.162.6.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰卫视中文台,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8#http://[2409:8087:2801:22:100::45]/wh7f454c46tw14778710_346869978/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8#http://ipv6.dzxhb.top:8888/rtp/239.11.0.153:5140#http://146.56.153.245:20121/bysid/258#http://116.162.6.192/3.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/58.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/57.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/9.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/69.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/31.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/38.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/67.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/6.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/20.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/26.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/22.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/4.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/56.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/35.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/39.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8#http://116.162.6.192/81.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
